Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume, Code, Name
AAU,2,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,63.65,,1.06,0.00%,12220,GOOG/AMEX_AAU,Almaden Minerals Ltd. 
ACU,3,Acme United Corp.,Consumer Goods,Housewares & Accessories,USA,47.01,12.39,14.74,0.00%,0,GOOG/AMEX_ACU,Acme United Corporation 
ACY,4,AeroCentury Corp.,Services,Rental & Leasing Services,USA,26.43,3.44,17.1,-0.18%,1002,GOOG/AMEX_ACY,AeroCentury Corp. 
ADGE,5,"American DG Energy, Inc.",Utilities,Electric Utilities,USA,78.92,,1.61,0.00%,0,GOOG/AMEX_ADGE,American DG Energy Inc 
ADK,6,AdCare Health Systems Inc.,Healthcare,Long-Term Care Facilities,USA,64.83,,4.45,1.14%,22501,GOOG/AMEX_ADK,AdCare Health Systems
AE,7,Adams Resources & Energy Inc.,Basic Materials,Oil & Gas Refining & Marketing,USA,255.99,8.83,60.76,0.12%,3282,GOOG/AMEX_AE,Adams Resources &amp; Energy Inc 
ALN,10,American Lorain Corporation,Consumer Goods,Processed & Packaged Goods,China,27.69,1.57,0.8,0.00%,127553,GOOG/AMEX_ALN,American Lorain Corporation 
AMS,14,American Shared Hospital Services,Healthcare,Specialized Health Services,USA,12.35,,2.68,0.00%,0,GOOG/AMEX_AMS,American Shared Hospital Services 
ANV,16,Allied Nevada Gold Corp.,Basic Materials,Gold,USA,344.57,9.43,3.34,1.21%,544303,GOOG/AMEX_ANV,Allied Nevada Gold Corp. 
API,17,Advanced Photonix Inc.,Technology,Semiconductor - Integrated Circuits,USA,20.9,,0.66,-0.76%,5184,GOOG/AMEX_API,Advanced Photonix
APP,18,"American Apparel, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,122.49,,1.09,-1.80%,194695,GOOG/AMEX_APP,American Apparel Inc. 
APT,19,Alpha Pro Tech Ltd.,Healthcare,Medical Appliances & Equipment,Canada,38.91,40.4,2.02,0.00%,1640,GOOG/AMEX_APT,Alpha Pro Tech
APTS,20,"Preferred Apartment Communities, Inc.",Financial,REIT - Residential,USA,64.93,,7.97,0.63%,4335,GOOG/AMEX_APTS,Preferred Apartment Communities Inc. 
AQQ,21,American Spectrum Realty Inc.,Financial,Property Management,USA,7.06,,2.04,2.98%,1394,GOOG/AMEX_AQQ,American Spectrum Realty
ASM,22,Avino Silver & Gold Mines Ltd.,Basic Materials,Industrial Metals & Minerals,Canada,32.1,39.0,1.17,0.00%,5215,GOOG/AMEX_ASM,Avino Silver &amp; Gold Mines Ltd 
ATL,23,Atlatsa Resources Corporation,Basic Materials,Industrial Metals & Minerals,South Africa,233.64,27.5,0.55,-0.91%,18000,GOOG/AMEX_ATL,Anooraq Resources Corp. 
AUMN,24,Golden Minerals Company,Basic Materials,Industrial Metals & Minerals,USA,20.14,,0.47,-0.04%,27952,GOOG/AMEX_AUMN,Golden Minerals Co 
AVL,25,Avalon Rare Metals Inc.,Basic Materials,Industrial Metals & Minerals,Canada,57.03,,0.56,1.93%,199827,GOOG/AMEX_AVL,Avalon Rare Metals Inc 
AWX,26,Avalon Holdings Corp.,Industrial Goods,Waste Management,USA,19.78,52.0,5.35,2.88%,804,GOOG/AMEX_AWX,Avalon Holdings Corp 
AXN,27,"Aoxing Pharmaceutical Company, Inc.",Healthcare,Drug Manufacturers - Major,USA,11.96,,0.26,10.17%,2470,GOOG/AMEX_AXN,Aoxing Pharmaceutical Company
AXU,28,Alexco Resource Corporation,Basic Materials,Industrial Metals & Minerals,Canada,74.62,,1.2,-3.23%,150260,GOOG/AMEX_AXU,Alexco Resource Corp. 
AXX,29,Alderon Iron Ore Corp.,Basic Materials,Industrial Metals & Minerals,Canada,214.73,,1.72,4.24%,2365,GOOG/AMEX_AXX,Alderon Iron Ore Corp 
AZC,30,Augusta Resource Corp.,Basic Materials,Copper,Canada,222.3,,1.55,0.65%,57577,GOOG/AMEX_AZC,Augusta Resource Corp. 
BAA,31,Banro Corporation,Basic Materials,Gold,Canada,131.07,18.33,0.55,-0.60%,70008,GOOG/AMEX_BAA,Banro Corporation 
BBH,32,Market Vectors Biotech ETF,Financial,Exchange Traded Fund,USA,,,84.23,0.86%,18528,GOOG/AMEX_BBH,Merrill Lynch Biotech HOLDRS ETF 
BCV,33,Bancroft Fund Ltd.,Financial,Closed-End Fund - Debt,USA,97.13,8.77,18.06,-0.06%,3025,GOOG/AMEX_BCV,Bancroft Fund Ltd. 
BDL,34,Flanigan's Enterprises Inc.,Services,Specialty Eateries,USA,23.7,11.38,12.85,0.78%,200,GOOG/AMEX_BDL,Flanigan's Enterprises
BDR,35,Blonder Tongue Laboratories Inc.,Technology,Communication Equipment,USA,5.91,,0.94,-1.05%,602,GOOG/AMEX_BDR,Blonder Tongue Labs
BFY,36,BlackRock New York Municipal Income Trust II,Financial,Closed-End Fund - Debt,USA,,,12.55,0.97%,22540,GOOG/AMEX_BFY,Blackrock New York Municipal Incme Tr II 
BHB,38,Bar Harbor Bankshares,Financial,Regional - Northeast Banks,USA,154.29,12.14,39.2,0.00%,1486,GOOG/AMEX_BHB,Bar Harbor Bankshares 
BHV,39,BlackRock Virginia Municipal Bond Trust,Financial,Asset Management,USA,22.53,9.26,14.39,0.90%,2400,GOOG/AMEX_BHV,BlackRock Virginia Municipal Bond Trust 
BKJ,40,"Bancorp Of New Jersey, Inc.",Financial,Savings & Loans,USA,72.87,16.01,13.77,0.00%,0,GOOG/AMEX_BKJ,Bancorp of New Jersey Inc 
BLE,41,BlackRock Municipal Income Trust II,Financial,Asset Management,USA,300.71,6.76,12.91,0.55%,49319,GOOG/AMEX_BLE,BlackRock Municipal Income Trust II 
BLJ,42,BlackRock New Jersey Municipal Bond Trust,Financial,Asset Management,USA,30.44,8.25,13.09,-0.23%,6354,GOOG/AMEX_BLJ,Blackrock New Jersey Municipal Bond Trst 
BONE,43,"Bacterin International Holdings, Inc.",Healthcare,Biotechnology,USA,19.61,,0.39,2.13%,86169,GOOG/AMEX_BONE,Bacterin International Holdings Inc 
BPS,44,BlackRock Pennsylvania Strategic Municipal Trust Fund,Financial,Asset Management,USA,23.12,9.19,11.43,0.35%,1546,GOOG/AMEX_BPS,BlackRock Pennsylvania Strategic Municipal Trust 
BQY,45,BlackRock S&P Quality Rankings Global Equity Managed Trust,Financial,Closed-End Fund - Equity,USA,,,12.52,-0.32%,17008,GOOG/AMEX_BQY,Blackrock S&amp;P Qlty Rnkngs Glb Eq Mngd Tr 
BRD,46,Brigus Gold Corp,Basic Materials,Gold,Canada,180.63,8.67,0.77,-1.46%,403799,GOOG/AMEX_BRD,Brigus Gold Corp 
BRN,47,Barnwell Industries Inc.,Basic Materials,Independent Oil & Gas,USA,25.0,,3.08,1.99%,602,GOOG/AMEX_BRN,Barnwell Industries
BTI,48,British American Tobacco plc,Consumer Goods,Cigarettes,United Kingdom,98015.94,15.42,104.0,1.54%,95086,GOOG/AMEX_BTI,British American Tobacco PLC 
BTN,49,"Ballantyne Strong, Inc",Consumer Goods,Photographic Equipment & Supplies,USA,62.85,20.41,4.59,2.23%,10364,GOOG/AMEX_BTN,Ballantyne Strong Inc 
BTX,50,"BioTime, Inc.",Healthcare,Biotechnology,USA,190.78,,3.41,-0.58%,55350,GOOG/AMEX_BTX,BioTime
BVX,51,Bovie Medical Corp.,Healthcare,Medical Instruments & Supplies,USA,38.89,,2.23,1.36%,5097,GOOG/AMEX_BVX,Bovie Medical Corporation 
BZC,54,Breeze-Eastern Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,90.65,22.38,9.2,-2.13%,1651,GOOG/AMEX_BZC,Breeze-Eastern Corp 
BZM,55,BlackRock Maryland Municipal Bond Trust,Financial,Asset Management,USA,25.3,9.78,12.3,0.65%,3268,GOOG/AMEX_BZM,Blackrock Maryland Municipal Bond Trust 
CAK,56,CAMAC Energy Inc.,Basic Materials,Independent Oil & Gas,USA,185.88,,1.12,-5.89%,161698,GOOG/AMEX_CAK,CAMAC Energy Inc 
CAW,58,CCA Industries Inc.,Consumer Goods,Personal Products,USA,21.23,,3.05,1.33%,1100,GOOG/AMEX_CAW,CCA Industries
CCA,59,MFS California Insured Municipal Fund,Financial,Closed-End Fund - Debt,USA,,,9.8,0.31%,3867,GOOG/AMEX_CCA,MFS California Municipal Fund Common Shares of Beneficial Interest 
CCF,60,Chase Corp.,Industrial Goods,Industrial Equipment & Components,USA,277.72,16.74,31.49,0.59%,1615,GOOG/AMEX_CCF,Chase Corp. 
CEF,61,Central Fund of Canada Limited,Financial,Asset Management,Canada,3450.11,,13.62,0.44%,222819,GOOG/AMEX_CEF,Central Fund of Canada Limited 
CEP,62,Constellation Energy Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,USA,52.43,,2.18,-0.90%,700,GOOG/AMEX_CEP,Constellation Energy Partners LLC 
CET,63,Central Securities Corp.,Financial,Asset Management,USA,484.84,6.56,21.09,0.72%,10259,GOOG/AMEX_CET,Central Securities Corp. 
CEV,64,Eaton Vance California Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,,,10.97,0.09%,21469,GOOG/AMEX_CEV,Eaton Vance California Mun. Income Trust 
CFP,65,Cornerstone Progressive Return ,Financial,Closed-End Fund - Equity,USA,128.64,11.57,5.07,-0.32%,73307,GOOG/AMEX_CFP,Cornerstone Progressive Return Fund 
CH,66,"Aberdeen Chile Fund, Inc.",Financial,Closed-End Fund - Foreign,United Kingdom,97.62,,10.46,0.58%,18638,GOOG/AMEX_CH,Aberdeen Chile Fund
CHGS,67,"China Gengsheng Minerals, Inc.",Basic Materials,Nonmetallic Mineral Mining,China,5.63,,0.2,-4.71%,12672,GOOG/AMEX_CHGS,China GengSheng Minerals
CIK,68,Credit Suisse Asset Management Income Fund Inc.,Financial,Asset Management,USA,183.29,9.0,3.51,0.00%,68957,GOOG/AMEX_CIK,Credit Suisse AM Inc Fund Inc. 
CIX,69,CompX International Inc.,Services,Security & Protection Services,USA,161.78,46.61,13.05,0.00%,0,GOOG/AMEX_CIX,CompX International Inc. 
CLM,70,Cornerstone Strategic Value Fund Inc.,Financial,Closed-End Fund - Equity,USA,,,6.19,-0.45%,120331,GOOG/AMEX_CLM,Cornerstone Strategic Value Fund Inc. 
CMFO,71,China Marine Food Group Limited,Consumer Goods,Processed & Packaged Goods,China,8.03,,0.26,-1.85%,16850,GOOG/AMEX_CMFO,China Marine Food Group Ltd 
CMT,72,Core Molding Technologies Inc.,Consumer Goods,Rubber & Plastics,USA,86.94,12.22,12.11,1.06%,2371,GOOG/AMEX_CMT,Core Molding Technologies
CNR,73,China Metro-Rural Holdings Limited,Services,Air Delivery & Freight Services,Hong Kong,68.9,,0.99,3.13%,187,GOOG/AMEX_CNR,China Metro Rural Holdings Ltd 
COVR,74,Cover-All Technologies Inc.,Technology,Business Software & Services,USA,37.33,,1.43,0.71%,1030,GOOG/AMEX_COVR,Cover-All Technologies Inc. 
CPHI,75,"China Pharma Holdings, Inc.",Healthcare,Drug Manufacturers - Major,China,16.12,,0.38,2.65%,10269,GOOG/AMEX_CPHI,China Pharma Holdings
CQP,76,Cheniere Energy Partners LP.,Basic Materials,Oil & Gas Pipelines,USA,5552.56,,28.78,-0.23%,21698,GOOG/AMEX_CQP,Cheniere Energy Partners LP 
CRF,77,Cornerstone Total Return Fund Inc.,Financial,Closed-End Fund - Equity,USA,,,5.66,-0.01%,55263,GOOG/AMEX_CRF,Cornerstone Total Return Fund Inc 
CRMD,78,"CorMedix, Inc.",Healthcare,Biotechnology,USA,10.96,,0.85,1.19%,10100,GOOG/AMEX_CRMD,CorMedix Inc. 
CRV,79,Coast Distribution System Inc.,Services,Auto Parts Wholesale,USA,14.95,,3.18,0.00%,0,GOOG/AMEX_CRV,The Coast Distribution System
CRVP,80,"Crystal Rock Holdings, Inc.",Services,Food Wholesale,USA,18.59,,0.89,2.24%,157,GOOG/AMEX_CRVP,Crystal Rock Holdings Inc 
CTO,81,Consolidated Tomoka Land Co.,Financial,Real Estate Development,USA,208.27,134.15,35.91,-0.86%,1530,GOOG/AMEX_CTO,Consolidated-Tomoka Land Co. 
CTP,82,CTPartners,Services,Staffing & Outsourcing Services,USA,43.98,,6.09,-2.56%,3205,GOOG/AMEX_CTP,CTPartners Executive Search Inc 
CUO,83,Continental Materials Corp.,Industrial Goods,Diversified Machinery,USA,30.7,7.12,19.0,1.44%,102,GOOG/AMEX_CUO,Continental Materials Corporation 
CUR,84,"Neuralstem, Inc.",Healthcare,Biotechnology,USA,171.17,,2.44,-0.38%,271444,GOOG/AMEX_CUR,Neuralstem
CVM,85,CEL-SCI Corp.,Healthcare,Biotechnology,USA,23.2,,0.71,-4.67%,194074,GOOG/AMEX_CVM,CEL-SCI Corporation 
CVR,86,Chicago Rivet & Machine Co.,Industrial Goods,Machine Tools & Accessories,USA,36.52,16.16,37.61,-0.53%,821,GOOG/AMEX_CVR,Chicago Rivet &amp; Machine Co. 
CVU,87,CPI Aerostructures Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,124.54,14.0,14.99,1.01%,651,GOOG/AMEX_CVU,CPI Aerostructures
CXM,88,Cardium Therapeutics Inc.,Healthcare,Biotechnology,USA,5.0,,0.76,-2.18%,17643,GOOG/AMEX_CXM,Cardium Therapeutics Inc 
DEJ,89,Dejour Energy Inc.,Basic Materials,Independent Oil & Gas,Canada,18.61,,0.12,-2.40%,377452,GOOG/AMEX_DEJ,Dejour Energy Inc 
DGSE,90,DGSE Companies Inc.,Services,Jewelry Stores,USA,28.74,,2.35,-0.42%,403,GOOG/AMEX_DGSE,DGSE Companies
DHY,91,Credit Suisse High Yield Bond Fund,Financial,Closed-End Fund - Debt,USA,296.32,6.35,3.07,0.66%,191847,GOOG/AMEX_DHY,Credit Suisse High Yield Bond Fund 
DIT,92,AMCON Distributing Co.,Services,Food Wholesale,USA,48.66,8.63,78.11,0.00%,0,GOOG/AMEX_DIT,AMCON Distributing Co. 
DLA,93,Delta Apparel Inc.,Consumer Goods,Textile - Apparel Clothing,USA,124.86,21.5,16.22,1.95%,2050,GOOG/AMEX_DLA,Delta Apparel
DMF,94,Dreyfus Municipal Income Inc.,Financial,Closed-End Fund - Debt,USA,169.17,7.93,8.24,0.86%,80200,GOOG/AMEX_DMF,Dreyfus Municipal Income
DNN,95,Denison Mines Corp.,Basic Materials,Industrial Metals & Minerals,Canada,505.76,,1.15,-0.86%,133490,GOOG/AMEX_DNN,Denison Mines Corp 
DPW,96,Digital Power Corp.,Technology,Diversified Electronics,USA,4.25,,0.6,-3.23%,1002,GOOG/AMEX_DPW,Digital Power Corporation 
DSS,97,"Document Security Systems, Inc.",Services,Business Services,USA,83.82,,1.97,-1.50%,394877,GOOG/AMEX_DSS,Document Security Systems
DXR,98,Daxor Corp.,Healthcare,Medical Instruments & Supplies,USA,28.77,2.23,7.0,0.14%,992,GOOG/AMEX_DXR,Daxor Corporation 
EAD,99,Wells Fargo Advantage Income Opportunities Fund,Financial,Closed-End Fund - Debt,USA,,,8.98,-0.32%,86690,GOOG/AMEX_EAD,Wells Fargo Adv Inc Opport Fund 
ECF,100,Ellsworth Fund Ltd.,Financial,Asset Management,USA,107.52,9.95,7.97,0.13%,4422,GOOG/AMEX_ECF,Ellsworth Fund Limited 
EGAS,101,Gas Natural Inc.,Utilities,Gas Utilities,USA,68.57,12.09,8.03,-0.86%,17372,GOOG/AMEX_EGAS,Gas Natural Inc 
EGI,102,Entree Gold Inc.,Basic Materials,Gold,Canada,41.09,,0.29,5.36%,10100,GOOG/AMEX_EGI,Entree Gold Inc 
EIA,103,Eaton Vance California Municipal Bond Fund II,Financial,Asset Management,USA,40.74,7.19,10.58,0.76%,7973,GOOG/AMEX_EIA,Eaton Vance California Municpl Bnd Fd II 
EIM,104,Eaton Vance Municipal Bond Fund,Financial,Closed-End Fund - Debt,USA,,,11.29,0.36%,134688,GOOG/AMEX_EIM,Eaton Vance Municipal Bond Fund 
EIO,105,Eaton Vance Ohio Municipal Bond Fund,Financial,Closed-End Fund - Debt,USA,,,11.09,-0.09%,6275,GOOG/AMEX_EIO,Eaton Vance Ohio Municipal Bond Fund Common Shared of Befeficial Interest
EIP,106,Eaton Vance Pennsylvania Municipal Bond Fund,Financial,Closed-End Fund - Debt,USA,,,11.17,-0.28%,11675,GOOG/AMEX_EIP,Eaton Vance Bond Fund 
EIV,107,Eaton Vance Municipal Bond Fund II,Financial,Closed-End Fund - Debt,USA,,,10.93,2.15%,62066,GOOG/AMEX_EIV,Eaton Vance Municipal Bond Fund II Common Shares of Beneficial Interest
ELLO,108,Ellomay Capital Ltd.,Utilities,Electric Utilities,Israel,97.64,8.64,9.16,0.00%,0,GOOG/AMEX_ELLO,Ellomay Capital Ltd. 
ELMD,109,"Electromed, Inc.",Healthcare,Home Health Care,USA,8.6,,1.05,-0.94%,1503,GOOG/AMEX_ELMD,Electromed 
EMAN,110,eMagin Corp.,Technology,Semiconductor Equipment & Materials,USA,60.85,129.0,2.54,-1.55%,44328,GOOG/AMEX_EMAN,eMagin Corporation 
EMI,111,Eaton Vance Michigan Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,,,10.94,0.49%,608,GOOG/AMEX_EMI,Eaton Vance Michigan Municipal Income Trust Shares of Beneficial Interest 
EMJ,112,Eaton Vance New Jersey Municipal Bond Fund,Financial,Closed-End Fund - Debt,USA,,,11.54,0.00%,6370,GOOG/AMEX_EMJ,Eaton Vance New Jersey Municipal Bond Fund Common Shres of Beneficial Interest
EMXX,113,Eurasian Minerals Inc.,Basic Materials,Industrial Metals & Minerals,Canada,64.21,,0.87,-1.12%,13200,GOOG/AMEX_EMXX,Eurasian Minerals 
ENX,114,Eaton Vance New York Municipal Bond Fund,Financial,Closed-End Fund - Debt,USA,,,11.29,0.71%,12242,GOOG/AMEX_ENX,Eaton Vance New York Municipal Bond Fund 
EPM,116,Evolution Petroleum Corp.,Basic Materials,Independent Oil & Gas,USA,343.0,59.95,12.07,0.67%,5546,GOOG/AMEX_EPM,Evolution Petroleum Corporation 
ERB,117,"ERBA Diagnostics, Inc.",Healthcare,Medical Instruments & Supplies,USA,93.43,,2.11,-1.40%,15087,GOOG/AMEX_ERB,Erba Diagnostics Inc 
ERC,118,Wells Fargo Advantage Multi-Sector Income Fund,Financial,Closed-End Fund - Debt,USA,,,13.9,0.00%,36553,GOOG/AMEX_ERC,Wells Fargo Adv Multi-Sector Inco Fund 
ERH,119,Wells Fargo Advantage Utilities and High Income Fund,Financial,Closed-End Fund - Equity,USA,,,11.6,0.17%,1300,GOOG/AMEX_ERH,Wells Fargo Advantage Utilities &amp; High 
ESP,120,Espey Manufacturing & Electronics Corp.,Technology,Diversified Electronics,USA,70.52,13.34,31.55,-0.19%,1485,GOOG/AMEX_ESP,Espey Manufacturing &amp; Electronics Corp. 
ETAK,122,Elephant Talk Communications Corp.,Technology,Long Distance Carriers,Netherlands,136.49,,1.11,-3.48%,228378,GOOG/AMEX_ETAK,Elephant Talk Commun 
ETF,123,"Aberdeen Emerging Markets Telecommunications Fund, Inc.",Financial,Closed-End Fund - Equity,USA,,,13.74,-30.54%,39221,GOOG/AMEX_ETF,Aberdeen Emrg Mkts Smlr Co Oppts Fd Inc 
EVBN,124,Evans Bancorp Inc.,Financial,Regional - Northeast Banks,USA,87.13,10.92,20.85,0.00%,0,GOOG/AMEX_EVBN,Evans Bancorp Inc. 
EVI,125,"EnviroStar, Inc.",Services,Consumer Services,USA,21.1,13.04,2.95,-1.67%,8578,GOOG/AMEX_EVI,Envirostar Inc 
EVJ,126,Eaton Vance New Jersey Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,,,11.38,0.26%,17031,GOOG/AMEX_EVJ,Eaton Vance New Jersey Municipal Incm Tr 
